Repetition,Episode,Total Reward,Q Value Before,Q Value After,Priority
1,1,8.0,0.41520026,0.7273646,3
1,2,9.0,0.8384529,0.97211117,3
1,3,10.0,1.0659375,0.96883976,3
1,4,10.0,0.8086289,0.99554694,3
1,5,9.0,1.0738826,0.9691626,3
1,6,10.0,1.0946281,0.9280491,3
1,7,10.0,0.9377468,1.0661045,3
1,8,10.0,1.0973418,0.9072467,3
1,9,10.0,0.9182376,1.0807755,3
1,10,10.0,0.85573083,1.0245432,3
1,11,10.0,1.264493,1.0115486,3
1,12,9.0,0.9351648,1.0068979,3
1,13,8.0,0.8925258,1.0069892,3
1,14,10.0,1.2731761,1.0149071,3
1,15,11.0,1.1169233,0.9547836,3
1,16,9.0,0.79950356,0.9877652,3
1,17,10.0,1.0859097,0.958317,3
1,18,9.0,0.8726371,1.0336833,3
1,19,9.0,1.0672497,0.9537433,3
1,20,11.0,1.147253,0.90939575,3
1,21,8.0,0.6623963,0.85577744,3
1,22,10.0,1.0728722,0.977709,3
1,23,8.0,0.79476446,0.95928144,3
1,24,10.0,1.1780975,0.97390217,3
1,25,10.0,1.0035517,0.9974876,3
1,26,8.0,0.81135464,0.98647344,3
1,27,9.0,1.1082225,0.9629985,3
1,28,8.0,0.86612844,1.0088524,3
1,29,10.0,1.2396889,0.9983523,3
1,30,10.0,1.000373,0.9998431,3
1,31,10.0,0.9941757,1.0058132,3
1,32,11.0,1.1340369,0.90609795,3
1,33,10.0,0.837915,1.0371209,3
1,34,10.0,1.0253551,0.9801204,3
1,35,10.0,1.0255824,0.9614282,3
1,36,9.0,0.8606088,1.0460438,3
1,37,10.0,1.182325,0.95942074,3
1,38,9.0,0.8961362,1.0249652,3
1,39,9.0,1.0000647,0.9999564,3
1,40,9.0,1.0254618,0.96939266,3
1,41,10.0,1.0677379,0.913855,3
1,42,10.0,0.9224842,1.0812775,3
1,43,8.0,0.89732397,1.0370239,3
1,44,8.0,1.0386612,0.972382,3
1,45,9.0,1.0754938,0.9370872,3
1,46,8.0,0.8554717,1.0167737,3
1,47,9.0,1.1310573,0.9630556,3
1,48,10.0,1.1024143,0.93573177,3
1,49,10.0,0.93467367,1.0567405,3
1,50,9.0,0.955771,1.0409951,3
2,1,8.0,0.96494067,1.0342501,3
2,2,9.0,0.9139141,1.0326961,3
2,3,10.0,1.4188073,1.1372446,3
2,4,8.0,0.9367657,0.9757859,3
2,5,10.0,1.206108,1.0058826,3
2,6,10.0,1.0137924,0.9940972,3
2,7,10.0,0.9869685,1.0124942,3
2,8,8.0,0.8467918,1.0131427,3
2,9,10.0,1.2166953,0.9857827,3
2,10,10.0,0.9992069,1.0004283,3
2,11,9.0,0.9363516,1.0410064,3
2,12,9.0,1.0475109,0.9534596,3
2,13,10.0,1.0601333,0.91947734,3
2,14,10.0,0.9207922,1.0821389,3
2,15,8.0,0.8965964,1.0352972,3
2,16,10.0,1.256184,1.009594,3
2,17,10.0,1.033654,0.9865013,3
2,18,9.0,0.90738755,1.0334026,3
2,19,10.0,1.1377225,0.94033694,3
2,20,9.0,0.87487966,1.0290567,3
2,21,8.0,0.92857236,1.0190197,3
2,22,13.0,1.1291965,0.94914055,3
2,23,8.0,0.87997323,1.016392,3
2,24,10.0,1.2276328,0.99122804,3
2,25,10.0,1.0009034,0.99954414,3
2,26,8.0,0.83371866,0.9905066,3
2,27,9.0,1.0924771,0.96642286,3
2,28,10.0,1.0805877,0.93411386,3
2,29,11.0,0.86501324,1.0425606,3
2,30,10.0,1.1362154,0.94355696,3
2,31,9.0,0.8705956,1.022873,3
2,32,10.0,1.1222742,0.9461907,3
2,33,10.0,0.78301793,0.95122445,3
2,34,10.0,1.1401033,0.96862894,3
2,35,10.0,1.0051066,0.9958386,3
2,36,10.0,0.99048984,1.0130817,3
2,37,9.0,0.95868814,1.0539186,3
2,38,9.0,1.072219,0.92820156,3
2,39,9.0,0.9281691,1.0601046,3
2,40,9.0,1.0665987,0.94107175,3
2,41,9.0,0.9698982,1.0389779,3
2,42,9.0,1.011205,0.9818605,3
2,43,11.0,1.1908606,0.94033647,3
2,44,8.0,0.7355819,0.90141636,3
2,45,9.0,0.99172693,1.0012639,3
2,46,10.0,1.1128519,0.9463664,3
2,47,10.0,0.9336787,1.0462856,3
2,48,9.0,0.99060094,1.0098314,3
2,49,10.0,1.095865,0.9222082,3
2,50,10.0,0.9426809,1.0611823,3
