Repetition,Episode,Total Reward,Q Value Before,Q Value After,Priority
1,1,10.0,0.93219686,0.9548917,3
1,2,10.0,1.097801,1.0838099,3
1,3,8.0,0.8238399,0.84037685,3
1,4,10.0,1.134444,1.1213897,3
1,5,9.0,0.95769984,0.9588587,3
1,6,9.0,0.9879181,0.99069405,3
1,7,10.0,1.104632,1.0873057,3
1,8,10.0,0.98077583,0.9787683,3
1,9,9.0,0.9304349,0.94817835,3
1,10,9.0,1.0433892,1.0396192,3
1,11,10.0,1.103871,1.0765862,3
1,12,9.0,0.8618659,0.87944436,3
1,13,9.0,0.9792265,0.9988402,3
1,14,9.0,1.1372025,1.0990754,3
1,15,9.0,0.9522588,0.95355356,3
1,16,9.0,0.97349536,0.983345,3
1,17,10.0,1.131972,1.0978663,3
1,18,10.0,0.91151124,0.9215658,3
1,19,8.0,0.8065718,0.83482945,3
1,20,8.0,0.9617381,0.9808567,3
1,21,9.0,1.2212343,1.1900653,3
1,22,9.0,1.038409,1.022948,3
1,23,9.0,0.9442171,0.946624,3
1,24,9.0,1.0134014,1.010095,3
1,25,8.0,0.8993096,0.9159319,3
1,26,9.0,1.1162875,1.0933521,3
1,27,10.0,1.0972618,1.0728816,3
1,28,9.0,0.8813927,0.8941365,3
1,29,10.0,1.0586394,1.0485464,3
1,30,8.0,0.86228234,0.8908675,3
1,31,9.0,1.1247745,1.1038475,3
1,32,8.0,0.9525459,0.9563696,3
1,33,9.0,1.0380515,1.0286014,3
1,34,10.0,1.1235763,1.0729911,3
1,35,10.0,0.88333094,0.89801383,3
1,36,10.0,0.99706835,1.0038859,3
1,37,9.0,0.9736528,0.9852704,3
1,38,9.0,1.0941417,1.0622729,3
1,39,9.0,0.9302136,0.93718684,3
1,40,8.0,0.90704244,0.9320631,3
1,41,8.0,1.0710313,1.0637082,3
1,42,9.0,1.1048508,1.0781447,3
1,43,10.0,1.0467739,1.0247008,3
1,44,10.0,0.916063,0.9316354,3
1,45,9.0,0.9840499,1.0009065,3
1,46,9.0,1.0861052,1.0608047,3
1,47,9.0,0.97634053,0.9772392,3
1,48,10.0,1.0580003,1.0383377,3
1,49,9.0,0.89324486,0.93119156,3
1,50,8.0,1.1406454,1.0803796,3
2,1,10.0,0.906574,0.92032516,3
2,2,9.0,0.9507086,0.966722,3
2,3,9.0,1.0518396,1.047762,3
2,4,9.0,1.0405849,1.0296144,3
2,5,9.0,0.9632071,0.96803856,3
2,6,10.0,1.0622346,1.0490545,3
2,7,9.0,0.94310886,0.9537364,3
2,8,9.0,0.9969561,1.0027918,3
2,9,10.0,1.1085589,1.0795863,3
2,10,8.0,0.9017622,0.9403124,3
2,11,10.0,1.1390003,1.0679367,3
2,12,9.0,0.8213719,0.8437659,3
2,13,9.0,0.95014507,0.96943927,3
2,14,8.0,1.078195,1.0459492,3
2,15,10.0,1.0576274,1.0417334,3
2,16,8.0,0.8660461,0.8822102,3
2,17,10.0,1.1006061,1.0846585,3
2,18,9.0,0.95308924,0.95746094,3
2,19,10.0,1.0289357,1.0246619,3
2,20,9.0,0.9547695,0.9628098,3
2,21,9.0,1.0204093,1.0200764,3
2,22,10.0,1.0703032,1.0540138,3
2,23,9.0,0.92768645,0.93704534,3
2,24,9.0,1.0017473,1.0061886,3
2,25,10.0,1.0775635,1.0595273,3
2,26,9.0,0.9344148,0.9429935,3
2,27,10.0,1.0503668,1.0417861,3
2,28,10.0,0.9860112,0.9873594,3
2,29,9.0,0.9584832,0.9717683,3
2,30,9.0,1.0896181,1.0454936,3
2,31,10.0,0.9596817,0.96470207,3
2,32,10.0,0.98283666,0.9894086,3
2,33,9.0,0.99756455,1.0017227,3
2,34,9.0,1.0185677,1.0165523,3
2,35,9.0,1.0927103,1.0131779,3
2,36,10.0,0.88146865,0.8984582,3
2,37,9.0,0.9213169,0.94231474,3
2,38,10.0,1.1343442,1.1142964,3
2,39,10.0,0.99698204,0.9920472,3
2,40,10.0,0.9773142,0.98092526,3
2,41,10.0,0.9959894,0.9991914,3
2,42,10.0,1.0232447,1.0190707,3
2,43,9.0,0.9935986,0.9985775,3
2,44,9.0,1.0334592,1.0166295,3
2,45,9.0,0.94537866,0.9837049,3
2,46,8.0,1.2873062,1.0927432,3
2,47,10.0,0.74089175,0.7692635,3
2,48,10.0,0.9245472,0.9474955,3
2,49,9.0,0.99693173,1.0062798,3
2,50,9.0,1.0740193,1.066194,3
