Repetition,Episode,Total Reward,Q Value Before,Q Value After,Priority
1,1,8.0,0.41520026,0.7273646,3
1,2,9.0,0.8384529,0.97211117,3
1,3,10.0,1.0659375,0.96883976,3
1,4,10.0,0.8086289,0.99554694,3
1,5,9.0,1.0738826,0.9691626,3
1,6,10.0,1.0946281,0.9280491,3
1,7,10.0,0.9377468,1.0661045,3
1,8,10.0,1.0973418,0.9072467,3
1,9,10.0,0.9182376,1.0807755,3
1,10,10.0,0.85573083,1.0245432,3
1,11,10.0,1.264493,1.0115486,3
1,12,9.0,0.9351648,1.0068979,3
1,13,8.0,0.8925258,1.0069892,3
1,14,10.0,1.2731761,1.0149071,3
1,15,11.0,1.1169233,0.9547836,3
1,16,9.0,0.79950356,0.9877652,3
1,17,10.0,1.0859097,0.958317,3
1,18,9.0,0.8726371,1.0336833,3
1,19,9.0,1.0672497,0.9537433,3
1,20,11.0,1.147253,0.90939575,3
1,21,8.0,0.6623963,0.85577744,3
1,22,10.0,1.0728722,0.977709,3
1,23,8.0,0.79476446,0.95928144,3
1,24,10.0,1.1780975,0.97390217,3
1,25,10.0,1.0035517,0.9974876,3
1,26,8.0,0.81135464,0.98647344,3
1,27,9.0,1.1082225,0.9629985,3
1,28,8.0,0.86612844,1.0088524,3
1,29,10.0,1.2396889,0.9983523,3
1,30,10.0,1.000373,0.9998431,3
1,31,10.0,0.9941757,1.0058132,3
1,32,11.0,1.1340369,0.90609795,3
1,33,10.0,0.837915,1.0371209,3
1,34,10.0,1.0253551,0.9801204,3
1,35,10.0,1.0255824,0.9614282,3
1,36,9.0,0.8606088,1.0460438,3
1,37,10.0,1.182325,0.95942074,3
1,38,9.0,0.8961362,1.0249652,3
1,39,9.0,1.0000647,0.9999564,3
1,40,9.0,1.0254618,0.96939266,3
1,41,10.0,1.0677379,0.913855,3
1,42,10.0,0.9224842,1.0812775,3
1,43,8.0,0.89732397,1.0370239,3
1,44,8.0,1.0386612,0.972382,3
1,45,9.0,1.0754938,0.9370872,3
1,46,8.0,0.8554717,1.0167737,3
1,47,9.0,1.1310573,0.9630556,3
1,48,10.0,1.1024143,0.93573177,3
1,49,10.0,0.93467367,1.0567405,3
1,50,9.0,0.955771,1.0409951,3
